chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries
100.0,100.0,443250,0,0,-1,1,0,2,2.2,2.2,1,Adam,2.2,67,False,,2021-07-10T07:14:40.139394Z,49,443250.jpg,1.8,Ståhl,0.1,False,,a,3,3056,20,6,0,23,0,0.4,4.1,Ståhl,548,0,0,1,13,0,0,0,0,0,0,0,3,6,4,0,25,33
0.0,0.0,113395,0,0,-5,5,1,3,0.0,0.0,0,Mohammed,0.2,68,False,Lämnat för Trelleborgs FF,2021-07-24T13:08:57.917361Z,60,113395.jpg,1.9,Saeid,2.7,False,,u,3,3056,23,57,0,1550,4,0.0,3.8,Saeid,357,1,1,0,9,0,0,1,0,0,0,1,1,3,5,1,1,14
100.0,100.0,195532,0,0,4,-4,1,3,2.5,2.5,3,Jacob,2.5,69,False,,2021-07-27T13:57:31.680828Z,59,195532.jpg,4.1,Ortmark,9.0,False,,a,3,3056,61,6037,6,3311,43,0.4,10.3,Ortmark,1176,3,2,3,21,0,0,4,0,0,0,5,8,6,23,1,13,80
100.0,100.0,209817,0,0,0,0,2,3,4.2,4.2,2,Marcus,4.2,70,False,,2021-07-13T08:25:41.763184Z,50,209817.jpg,3.8,Mathisen,0.7,False,,a,3,3056,50,368,4,258,6,0.8,10.0,Mathisen,1170,1,1,3,18,0,0,3,0,0,0,1,15,0,11,1,75,89
0.0,0.0,169407,0,0,-3,3,0,3,0.0,0.0,0,Aron,0.0,71,False,Skadad. Tillbaka i spel: okänt,2021-06-21T08:20:12.477957Z,52,169407.jpg,0.0,Bjarnason,0.2,False,,i,3,3056,0,5,0,148,0,0.0,0.0,Bjarnason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,193782,0,0,-1,1,0,3,1.2,1.2,1,Adam,1.2,72,False,,2021-07-20T10:57:14.849804Z,44,193782.jpg,2.5,Hellborg,7.7,False,,a,3,3056,32,1024,3,2744,19,0.3,7.3,Hellborg,937,0,1,1,20,0,0,7,0,0,0,1,11,0,10,0,34,81
100.0,100.0,171167,0,0,-4,4,0,3,2.5,2.5,3,Yukiya,2.5,73,False,,2021-04-25T14:07:04.987660Z,76,171167.jpg,2.4,Sugita,2.9,False,,a,3,3056,26,159,0,1787,3,0.3,3.4,Sugita,815,0,0,3,13,0,0,1,0,0,0,4,0,1,21,1,4,19
,,439917,0,0,-3,3,0,3,3.5,3.5,2,Laorent,3.5,74,False,,,52,439917.jpg,2.3,Shabani,0.2,False,,a,3,3056,32,25,0,53,0,0.7,6.2,Shabani,696,1,1,3,15,0,0,1,0,0,0,0,1,9,15,0,16,26
,,507929,0,0,0,0,0,2,0.0,0.0,0,Jamie,0.0,75,False,,,45,507929.jpg,2.6,Roche,1.3,False,,a,3,3056,31,474,0,469,7,0.0,6.9,Roche,919,0,0,1,20,0,0,2,0,0,0,1,11,1,3,1,60,56
,,509041,0,0,-2,2,0,2,0.5,0.5,0,Johan,0.5,76,False,,,43,509041.jpg,2.3,Karlsson,0.3,False,,a,3,3056,25,39,0,123,2,0.1,5.8,Karlsson,375,1,1,0,7,0,0,1,0,0,0,2,3,1,2,2,10,26
0.0,0.0,427977,0,0,0,0,0,3,0.0,0.0,0,Isak,0.0,77,False,Utlånad till Sandvikens IF,2021-03-16T11:10:31.701325Z,45,427977.jpg,0.0,Bråholm,0.0,False,,u,3,3056,0,0,0,1,0,0.0,0.0,Bråholm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,495439,0,0,-1,1,0,4,0.0,0.0,0,Joakim,0.0,78,False,Utlånad till IK Brage,2021-07-10T07:14:40.157974Z,44,495439.jpg,1.0,Persson,0.6,False,,u,3,3056,3,229,0,348,0,0.0,0.7,Persson,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,0.0,81347,0,0,0,0,0,4,0.0,0.0,0,Kennedy,0.0,79,False,Lämnat för IFK Mariehamn,2021-03-19T09:16:10.195904Z,55,81347.jpg,0.0,Igboananike,0.1,False,,u,3,3056,0,0,0,37,0,0.0,0.0,Igboananike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,101176,0,0,5,-5,0,4,3.2,3.2,7,Christian,3.2,80,False,,,60,101176.jpg,4.6,Kouakou,17.6,False,,a,3,3056,73,9469,48,4365,92,0.5,12.2,Kouakou,1327,7,2,4,23,0,0,1,0,0,0,1,0,1,6,1,3,9
0.0,0.0,471249,0,0,-5,5,0,4,0.0,0.0,0,Ekin,0.2,81,False,Utlånad till Vasalund,2021-08-07T08:04:38.487679Z,50,471249.jpg,2.0,Bulut,0.2,False,,n,3,3056,10,19,0,211,1,0.0,2.0,Bulut,44,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
100.0,100.0,217973,0,0,-1,1,0,2,0.2,0.2,1,Joseph,0.2,426,False,,2021-07-19T15:10:01.470924Z,44,217973.jpg,2.6,Colley,3.2,False,,a,3,3056,29,1918,0,1750,9,0.0,6.6,Colley,817,0,0,1,17,0,0,1,0,0,0,0,12,0,3,0,63,52
,,519870,0,0,0,0,0,3,0.0,0.0,0,Samuel,0.0,437,False,,,45,519870.jpg,1.0,Wikman,0.0,False,,a,3,3056,1,6,0,2,0,0.0,0.2,S Wikman,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
,,533454,0,0,0,0,0,3,0.0,0.0,0,Adam,0.0,445,False,,,45,533454.jpg,0.0,Wikman,0.0,False,,a,3,3056,0,0,0,0,0,0.0,0.0,A Wikman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,538828,0,0,0,0,0,3,0.0,0.0,0,Emil,0.0,446,False,,,45,538828.jpg,0.0,Ozkan,0.0,False,,a,3,3056,0,0,0,0,0,0.0,0.0,Özkan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,543855,0,0,0,0,0,2,0.0,0.0,0,Tim,0.0,450,False,,,40,543855.jpg,0.0,Olsson,0.0,False,,a,3,3056,0,12,0,5,0,0.0,0.0,Olsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,543780,-1,1,-3,3,0,3,0.0,0.0,0,Herman,0.0,454,False,,,47,543780.jpg,1.0,Sjögrell,0.0,False,,a,3,3056,2,10,1,4,1,0.0,0.4,Sjögrell,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,203390,0,0,0,0,0,3,2.8,2.8,4,Moustafa,2.8,467,False,,,50,203390.jpg,2.2,Zeidan,0.0,False,,a,3,3056,13,14,0,4,0,0.6,2.6,Zeidan,372,0,0,2,3,0,0,0,0,0,0,1,1,2,7,0,9,23
,,105393,0,0,0,0,0,1,0.0,0.0,0,Karim,0.0,471,False,,,40,105393.jpg,0.0,Fegrouche,0.0,False,,a,3,3056,0,4,0,1,0,0.0,0.0,Fegrouche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,545558,0,0,0,0,0,1,0.0,0.0,0,August,0.0,474,False,,,45,545558.jpg,0.0,Ahlin,0.0,False,,a,3,3056,0,5,1,0,0,0.0,0.0,Ahlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,242156,0,0,0,0,0,4,0.3,0.3,1,Edi,0.3,480,False,,,50,242156.jpg,0.5,Sylisufaj,0.0,False,,a,3,3056,1,11,3,3,1,0.1,0.2,Sylisufaj,39,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1
,,105211,0,0,0,0,0,1,4.4,4.4,2,Giannis,4.4,82,False,,,60,105211.jpg,4.7,Anestis,7.6,False,,a,4,244,75,908,5,1170,15,0.7,12.5,Anestis,1440,0,0,5,20,0,0,0,0,48,0,0,19,0,0,0,9,159
,,73439,0,0,-1,1,0,1,0.0,0.0,0,Ole,0.0,83,False,,,49,73439.jpg,0.0,Söderberg,0.5,False,,a,4,244,0,13,0,53,0,0.0,0.0,Söderberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,228912,0,0,0,0,0,1,0.0,0.0,0,Tom,0.0,84,False,Utlånad till Utsiktens BK,2021-04-03T08:31:24.107980Z,40,228912.jpg,0.0,Amos,0.5,False,,u,4,244,0,0,0,77,1,0.0,0.0,Amos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,170023,0,0,-1,1,0,2,2.6,2.6,2,Carl,2.6,85,False,,2021-03-26T09:37:44.391762Z,59,170023.jpg,2.8,Johansson,1.3,False,,a,4,244,22,418,0,473,2,0.4,3.7,C.Johansson,716,0,0,1,13,0,0,3,0,0,0,0,11,0,4,0,66,40
100.0,100.0,512352,0,0,-2,2,0,2,0.2,0.2,0,Yahya,0.2,86,False,,2021-03-26T09:37:44.414273Z,48,512352.jpg,1.1,Kalley,0.1,False,,a,4,244,9,34,1,52,0,0.0,1.9,Kalley,285,0,0,0,6,0,0,2,0,0,0,0,2,2,2,0,6,22
,,51769,0,0,0,0,0,2,2.6,2.6,2,Mattias,2.6,87,False,,,55,51769.jpg,3.6,Bjärsmyr,9.1,False,,a,4,244,57,1358,1,1815,20,0.5,10.4,Bjärsmyr,1440,0,0,5,20,0,0,2,0,0,0,0,15,1,1,0,84,82
0.0,0.0,449942,0,0,0,0,0,2,0.0,0.0,0,Rasmus,0.0,88,False,Lämnat för Bröndby,2021-03-16T11:09:42.738506Z,45,449942.jpg,0.0,Wikström,0.0,False,,u,4,244,0,0,0,2,0,0.0,0.0,Wikström,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,495633,0,0,1,-1,0,2,0.0,0.0,0,Jesper,0.0,89,False,Lämnat för Lommel,2021-07-05T15:37:52.149015Z,51,495633.jpg,4.5,Tolinsson,1.2,False,,u,4,244,36,1158,0,1258,2,0.0,7.1,Tolinsson,702,0,0,4,7,0,0,0,0,0,0,0,6,1,2,0,32,36
,,240166,0,0,1,-1,0,2,3.8,3.8,1,Alexander,3.8,90,False,,,56,240166.jpg,4.3,Jallow,22.2,False,,a,4,244,69,4391,25,5467,64,0.7,12.3,Jallow,1392,1,2,5,19,0,0,1,0,0,0,7,6,17,18,2,46,67
100.0,100.0,232091,0,0,-1,1,0,3,1.6,1.6,2,August,1.6,91,False,,2021-05-11T18:48:52.377106Z,49,232091.jpg,2.3,Erlingmark,2.7,False,,a,4,244,30,191,3,864,2,0.3,6.1,Erlingmark,1049,0,0,4,14,0,0,4,0,0,0,1,5,0,6,1,50,54
0.0,0.0,459212,0,0,-3,3,0,3,0.0,0.0,0,Alhassan,0.0,92,False,Lämnat för Royal Antwerp.,2021-07-16T18:04:48.143814Z,52,459212.jpg,3.6,Yusuf,6.9,False,,n,4,244,36,870,0,4331,16,0.0,6.9,Yusuf,761,0,2,4,9,0,0,0,0,0,0,2,6,0,8,1,18,63
100.0,100.0,51767,0,0,0,0,0,3,1.6,1.6,1,Sebastian,1.6,93,False,,2021-08-03T08:02:43.555548Z,50,51767.jpg,3.1,Eriksson,0.5,False,,a,4,244,43,222,2,149,5,0.3,8.6,Eriksson,1091,1,1,3,18,0,0,5,0,0,0,1,11,2,4,1,26,87
0.0,0.0,51850,0,0,-2,2,0,3,0.0,0.0,0,Jakob,0.0,94,False,Har avslutat karriären.,2021-03-26T09:37:44.435132Z,48,51850.jpg,0.0,Johansson,0.1,False,,u,4,244,0,3,0,32,1,0.0,0.0,J.Johansson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,157743,0,0,0,0,0,3,1.2,1.2,1,Hosam,1.2,95,False,,2021-05-19T11:40:03.604013Z,80,157743.jpg,2.5,Aiesh,0.5,False,,a,4,244,30,273,0,285,1,0.2,3.8,Aiesh,694,1,1,2,10,0,0,2,0,0,0,1,1,8,13,1,4,32
100.0,100.0,451555,0,0,-4,4,0,3,0.2,0.2,1,Kevin,0.2,96,False,,2021-07-11T10:45:22.509386Z,46,451555.jpg,2.8,Yakob,1.7,False,,a,4,244,25,321,1,1276,3,0.0,5.4,Yakob,370,2,0,2,2,0,0,0,0,0,0,0,1,1,3,0,6,15
100.0,100.0,501547,0,0,-3,3,0,3,1.2,1.2,1,Gustaf,1.2,97,False,,2021-05-08T09:33:44.383006Z,62,501547.jpg,1.8,Norlin,1.3,False,,a,4,244,24,24,0,596,0,0.2,3.9,Norlin,520,0,0,3,4,0,0,0,0,0,0,3,0,3,6,3,18,25
100.0,100.0,508407,0,0,-1,1,0,3,0.0,0.0,0,Isak,0.0,98,False,,2021-05-23T07:58:38.559408Z,44,508407.jpg,0.0,Dahlqvist,0.1,False,,a,4,244,0,2,0,8,0,0.0,0.0,Dahlqvist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,61778,0,0,-1,1,3,3,4.6,4.6,3,Tobias,4.6,99,False,,,84,61778.jpg,4.7,Sana,15.2,False,,a,4,244,75,4627,68,5258,45,0.5,8.9,Sana,1440,3,3,5,20,0,1,1,0,0,0,8,9,23,25,2,4,76
,,492024,0,0,-1,1,0,3,0.0,0.0,0,Tim,0.0,100,False,,,44,492024.jpg,0.0,van Assema,0.1,False,,a,4,244,0,3,0,9,0,0.0,0.0,van Assema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,449943,0,0,-2,2,0,3,0.0,0.0,0,Noah,0.0,101,False,,2021-05-23T07:58:38.578961Z,43,449943.jpg,1.0,Alexandersson,0.5,False,,a,4,244,1,56,1,136,1,0.0,0.2,Alexandersson,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,511334,0,0,-2,2,0,3,0.0,0.0,0,Lucas,0.0,102,False,,,43,511334.jpg,0.0,Kahed,0.1,False,,a,4,244,0,6,0,13,1,0.0,0.0,Kåhed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,51855,0,0,-1,1,0,3,0.0,0.0,0,Pontus,0.0,103,False,Har avslutat karriären.,2021-07-11T10:45:22.527431Z,64,51855.jpg,1.5,Wernbloom,0.8,False,,u,4,244,9,16,0,314,2,0.0,1.4,Wernbloom,132,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,7,9
0.0,0.0,218138,0,0,-3,3,0,3,0.0,0.0,0,Patrik,0.0,104,False,Rehabtränar,2021-03-26T09:37:44.456355Z,72,218138.jpg,0.0,Karlsson-Lagemyr,0.1,False,,i,4,244,0,1,0,51,0,0.0,0.0,Karlsson-Lagemyr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,50.0,95879,0,0,-2,2,0,3,1.0,0.5,4,Simon,1.0,105,False,,2021-08-14T09:20:06.971126Z,73,95879.jpg,3.1,Thern,4.4,False,,a,4,244,25,351,3,2416,3,0.1,3.4,Thern,488,0,2,3,3,0,0,1,0,0,0,4,0,1,12,2,9,19
0.0,0.0,19802,0,0,-1,1,0,3,0.0,0.0,0,Marek,0.0,106,False,Lämnat för Trabzonspor,2021-06-19T15:42:43.924042Z,124,19802.jpg,3.8,Hamsik,2.0,False,,u,4,244,23,234,0,771,0,0.0,1.9,Hamsik,440,1,0,1,7,0,0,0,0,0,0,0,6,6,4,0,4,50
100.0,100.0,83758,0,0,-1,1,2,4,2.6,2.6,2,Kolbeinn,2.6,107,False,,2021-04-03T07:20:39.084070Z,69,83758.jpg,3.9,Sigthorsson,6.8,False,,a,4,244,62,5215,13,3388,39,0.4,9.0,Sigthorsson,1275,4,4,4,17,0,0,1,0,0,0,1,0,0,8,0,23,35
100.0,100.0,491237,0,0,-2,2,0,4,0.2,0.2,0,Oscar,0.2,108,False,,2021-07-26T09:09:13.577114Z,38,491237.jpg,1.0,Vilhelmsson,4.8,False,,a,4,244,3,1317,10,2221,24,0.1,0.8,Vilhelmsson,43,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
100.0,100.0,51870,0,0,-2,2,0,4,1.8,1.8,6,Robin,1.8,109,False,,2021-05-02T10:49:49.895090Z,83,51870.jpg,2.2,Söder,1.3,False,,a,4,244,18,83,0,616,1,0.2,2.2,Söder,99,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,3
,,534209,0,0,-1,1,0,4,0.0,0.0,0,Alfons,0.0,434,False,,,39,534209.jpg,0.0,Nygaard,0.3,False,,a,4,244,0,214,1,141,2,0.0,0.0,Nygaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,536148,0,0,0,0,0,3,0.0,0.0,0,Filip,0.0,435,False,,,45,536148.jpg,1.0,Ambroz,0.0,False,,a,4,244,1,6,0,5,0,0.0,0.2,Ambroz,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,539218,0,0,0,0,0,2,0.0,0.0,0,Hannes,0.0,447,False,,,40,539218.jpg,0.0,Lennartsson,0.0,False,,a,4,244,0,17,0,8,0,0.0,0.0,Lennartsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,,39457,0,0,-1,1,0,2,0.0,2.4,0,Oscar,2.4,461,False,Sjuk.,2021-08-23T11:40:29.907082Z,69,39457.jpg,3.0,Wendt,2.5,False,,n,4,244,15,1787,1,809,33,0.3,2.2,Wendt,438,0,0,1,8,0,0,1,0,0,0,2,4,7,8,0,17,35
100.0,50.0,46072,0,0,0,0,1,4,4.4,2.2,2,Marcus,4.4,462,False,,2021-08-18T12:51:36.465597Z,105,46072.jpg,4.8,Berg,3.9,False,,a,4,244,29,1996,24,515,31,0.4,2.8,Berg,540,3,1,1,10,0,0,1,0,0,0,0,0,0,5,0,8,9
,,51774,0,0,0,0,0,3,2.8,2.8,3,Gustav,2.8,472,False,,,50,51774.jpg,2.8,Svensson,0.1,False,,a,4,244,14,35,0,7,1,0.6,2.8,Svensson,431,0,0,1,8,0,0,1,0,0,0,0,4,0,0,0,19,25
,,547235,0,0,0,0,0,2,0.0,0.0,0,Bernardo,0.0,489,False,,,50,547235.jpg,0.0,Vilar Estevão Jeronimo,0.1,False,,a,4,244,0,24,0,2,0,0.0,0.0,Vilar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,117885,0,0,-4,4,0,1,0.0,0.0,0,Mathias,0.0,110,False,,2021-07-25T08:17:08.353832Z,46,117885.jpg,0.0,Dyngeland,0.6,False,,a,5,375,0,9,0,466,0,0.0,0.0,Dyngeland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,241641,0,0,2,-2,3,1,5.5,5.5,3,Tim,5.5,111,False,,2021-03-20T20:02:39.739236Z,62,241641.jpg,5.3,Rönning,5.4,False,,a,5,375,85,1888,46,573,17,0.9,13.7,Rönning,1440,0,0,7,15,1,0,2,0,44,0,0,18,0,1,0,19,144
0.0,0.0,433421,0,0,-1,1,0,2,0.0,0.0,0,Joseph,0.0,112,False,Lämnat för KAA Gent,2021-06-30T08:16:42.924255Z,64,433421.jpg,4.0,Okumu,3.1,False,,u,5,375,28,182,0,2325,3,0.0,4.4,Okumu,535,0,0,2,7,0,0,1,0,0,0,0,10,0,4,0,48,55
100.0,100.0,76008,0,0,1,-1,3,2,2.2,2.2,1,Johan,2.2,113,False,,2021-07-16T13:59:32.229034Z,81,76008.jpg,5.5,Larsson,20.3,False,,a,5,375,72,4738,42,6623,34,0.3,8.9,Larsson,1153,1,3,5,14,0,0,1,0,0,0,10,7,29,22,2,48,66
100.0,100.0,226118,0,0,-1,1,2,2,5.5,5.5,1,Leo,5.5,114,False,,2021-04-07T11:36:07.117080Z,59,226118.jpg,5.3,Väisänen,1.8,False,,a,5,375,53,377,8,357,3,0.9,9.0,Väisänen,900,2,1,4,11,0,0,2,0,0,0,1,7,1,1,1,61,48
,,532005,0,0,-1,1,0,2,0.0,0.0,0,Gustav,0.0,115,False,,,39,532005.jpg,0.0,Broman,1.1,False,,a,5,375,0,81,0,226,1,0.0,0.0,Broman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,114516,0,0,0,0,2,2,6.5,6.5,6,Frederik,6.5,116,False,,2021-05-11T15:04:59.563450Z,55,114516.jpg,5.3,Holst,4.1,False,,a,5,375,74,1260,128,746,8,1.2,13.5,Holst,1010,1,3,7,6,0,0,3,0,0,0,1,8,3,14,0,35,71
,,424887,0,0,-1,1,0,2,4.8,4.8,2,Christopher,4.8,117,False,,,49,424887.jpg,3.6,McVey,0.3,False,,a,5,375,43,120,8,113,3,1.0,8.8,McVey,722,0,0,5,5,0,0,2,0,0,0,1,7,1,6,1,39,67
,,442881,0,0,9,-9,1,2,5.0,5.0,2,Simon,5.0,118,True,,,64,442881.jpg,5.2,Strand,28.8,False,,a,5,375,84,12218,142,2353,23,0.8,13.1,Strand,1440,0,1,7,15,0,0,2,0,0,0,5,23,14,18,2,90,137
,,470078,0,0,-2,2,0,2,0.0,0.0,0,Oliver,0.0,119,False,,,43,470078.jpg,0.0,Zandén,0.1,False,,a,5,375,0,2,0,33,0,0.0,0.0,Zandén,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.0,50.0,432876,0,0,0,0,2,2,1.4,1.4,0,Maudo,2.8,120,False,Huvudskadad. Tillbaka i spel: 1 vecka,2021-08-15T16:33:40.277426Z,55,432876.jpg,5.1,Jarjue,3.6,False,,d,5,375,61,4122,0,3061,28,0.5,11.1,Jarjue,1004,1,1,5,8,0,0,1,0,0,0,0,12,1,2,0,66,70
,,531067,0,0,-2,2,0,3,0.8,0.8,0,Ahmed,0.8,121,False,,,48,531067.jpg,2.2,Qasem,0.1,False,,a,5,375,11,9,0,25,0,0.2,2.3,Qasem,108,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,2,6
100.0,100.0,116696,0,0,1,-1,0,3,3.2,3.2,2,André,3.2,122,False,,2021-04-27T20:39:17.409889Z,61,116696.jpg,4.1,Römer,2.6,False,,a,5,375,61,1830,23,1011,12,0.5,10.0,Römer,1286,1,3,6,14,0,0,5,0,0,0,2,15,10,13,1,49,116
100.0,100.0,156670,0,0,0,0,2,3,2.5,2.5,8,Robert,2.5,123,False,,2021-07-22T20:44:21.741878Z,50,156670.jpg,3.4,Gojani,1.1,False,,a,5,375,48,447,7,540,1,0.5,9.6,Gojani,1122,1,1,7,10,0,0,2,0,0,0,4,5,6,13,2,35,68
100.0,100.0,477403,0,0,-2,2,1,3,4.8,4.8,8,Alexander,4.8,124,False,,2021-08-08T15:59:56.051866Z,48,477403.jpg,2.8,Bernhardsson,0.4,False,,a,5,375,31,171,52,137,2,1.0,6.5,Bernhardsson,327,3,1,1,2,0,0,0,0,0,0,0,0,2,8,0,6,23
100.0,100.0,447575,0,0,-2,2,0,3,3.2,3.2,2,Rasmus,3.2,125,False,,2021-08-03T08:10:57.785485Z,78,447575.jpg,3.9,Alm,3.2,False,,a,5,375,39,1124,4,4329,4,0.4,5.0,Alm,697,1,3,4,6,0,0,3,0,0,0,3,4,5,8,3,5,44
100.0,100.0,240234,0,0,-1,1,0,3,0.5,0.5,0,Simon,0.5,126,False,,2021-05-13T08:20:04.946046Z,69,240234.jpg,1.2,Olsson,0.8,False,,a,5,375,6,116,0,430,0,0.1,0.9,Olsson,158,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,14
,,506214,0,0,-3,3,0,3,2.2,2.2,6,Jacob,2.2,127,False,,,52,506214.jpg,1.9,Ondrejka,0.3,False,,a,5,375,27,140,0,241,1,0.4,5.2,Ondrejka,461,1,1,1,7,0,0,0,0,0,0,0,0,3,6,0,11,32
100.0,100.0,48458,0,0,-2,2,0,3,0.8,0.8,1,Samuel,0.8,128,False,,2021-05-11T18:48:25.619874Z,48,48458.jpg,0.9,Holmen,0.3,False,,a,5,375,13,12,0,100,1,0.2,2.7,S Holmen,370,0,0,0,8,0,0,3,0,0,0,0,0,2,2,0,4,24
0.0,0.0,504880,0,0,-1,1,0,3,0.0,0.0,0,Prince,0.0,129,False,Ryggskada. Tillbaka i spel: okänt,2021-07-10T15:29:29.256722Z,44,504880.jpg,0.0,Isaac Kouame,0.1,False,,i,5,375,0,1,0,21,0,0.0,0.0,Isaac Kouame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,226964,0,0,-1,1,1,3,3.5,3.5,1,Jeppe,3.5,130,False,,,69,226964.jpg,3.6,Okkels,3.3,False,,a,5,375,58,914,19,724,14,0.5,8.4,Okkels,1168,4,0,6,11,0,0,1,0,0,0,2,3,5,17,1,14,65
,,470085,0,0,-2,2,0,3,0.0,0.0,0,Noah,0.0,131,False,,,43,470085.jpg,0.8,Soderberg,0.1,False,,a,5,375,3,19,0,23,0,0.0,0.7,Soderberg,56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5
100.0,100.0,470082,0,0,-1,1,0,4,0.2,0.2,0,Jack,0.2,132,False,,2021-04-07T11:36:07.176926Z,44,470082.jpg,1.0,Cooper Love,0.5,False,,a,5,375,6,168,3,189,1,0.0,1.4,Cooper Love,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
